Riqueza,Viento,Cielo,Rio,Hora,Mes,VERCHR,VERCYA,HYLMUS,VIRSOL,CARPUS,SETCIT,SETVIR,DUMCAR,SETMAG,SETPEN,OREPER
2,1,2,0,920,1,0,0,0,0,0,0,1,0,0,0,0
1,2,2,0,810,2,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,902,3,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,749,1,0,0,0,0,0,0,2,0,0,0,0
4,1,2,0,923,2,0,0,0,0,1,0,1,0,0,0,0
6,2,2,0,1058,3,0,0,0,0,1,0,1,0,1,0,1
2,3,0,0,828,1,0,0,0,0,1,0,0,0,0,0,0
1,2,3,0,954,2,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,734,4,0,0,0,0,2,0,0,1,1,0,0
1,2,0,0,858,1,0,0,0,0,0,0,0,0,0,0,0
0,3,1,1,1008,2,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,921,4,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,1113,1,0,0,0,0,0,0,3,0,0,0,0
4,1,3,0,632,2,0,0,0,0,0,0,1,0,0,0,0
2,2,0,0,1229,4,0,0,0,0,0,0,1,0,0,0,0
0,1,2,0,817,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,1109,2,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,1304,4,0,0,0,0,0,0,2,0,0,0,0
7,1,2,4,1052,2,0,0,0,0,1,0,1,1,1,0,0
3,2,0,4,1315,4,0,0,0,0,0,0,0,0,1,0,0
4,1,3,0,643,1,0,0,0,0,1,1,0,0,0,0,0
1,2,3,0,822,2,0,0,0,0,0,0,0,0,0,0,0
8,2,2,0,922,3,0,0,0,0,1,1,3,0,1,2,0
10,1,3,1,722,1,0,0,0,0,1,1,1,0,1,1,0
8,1,3,1,700,2,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,802,3,1,0,0,0,1,0,1,0,0,1,0
8,1,3,2,743,1,0,0,1,0,1,1,1,0,0,1,0
8,1,3,2,637,2,0,0,1,0,1,0,1,0,0,1,0
6,1,1,2,826,3,0,1,0,0,0,0,0,0,1,1,0
4,2,1,0,1509,1,0,0,0,0,0,0,0,1,1,1,0
1,1,2,1,758,2,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,939,3,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,1300,1,0,0,0,2,0,1,0,0,1,0,0
10,2,1,0,933,2,1,0,1,1,1,0,1,0,0,2,0
3,1,0,0,1028,4,0,0,0,0,0,0,0,0,0,0,0
3,2,1,0,1140,1,1,1,0,0,0,0,2,0,0,0,0
5,2,3,0,652,2,0,0,0,0,1,0,0,0,0,0,0
5,2,0,0,1243,4,0,0,0,0,0,0,0,0,1,1,0
